"Actual","Predicted","nPredictions"
"beaufort","beaufort","22"
"beaufort","brie de me","0"
"beaufort","bûchette d","0"
"beaufort","cabecou","0"
"beaufort","camembert","0"
"beaufort","chabichou","0"
"beaufort","cheddar","0"
"beaufort","chèvre","0"
"beaufort","comté","1"
"beaufort","emmental","0"
"beaufort","epoisses","0"
"beaufort","feta","0"
"beaufort","fourme d’a","1"
"beaufort","fromage fr","0"
"beaufort","gruyère","0"
"beaufort","maroilles","0"
"beaufort","mimolette","0"
"beaufort","mont d’or","1"
"beaufort","morbier","0"
"beaufort","mothais","0"
"beaufort","mozzarella","0"
"beaufort","munster","0"
"beaufort","neufchatel","0"
"beaufort","ossau- ira","0"
"beaufort","parmesan","0"
"beaufort","pecorino","0"
"beaufort","pouligny s","0"
"beaufort","raclette","0"
"beaufort","reblochon","0"
"beaufort","roquefort","0"
"beaufort","saint- fél","0"
"beaufort","saint-nect","0"
"beaufort","scarmoza","0"
"beaufort","stilton","0"
"beaufort","tomme de v","0"
"beaufort","tête de mo","0"
"beaufort","vacherin","0"
"brie de me","beaufort","0"
"brie de me","brie de me","19"
"brie de me","bûchette d","0"
"brie de me","cabecou","2"
"brie de me","camembert","2"
"brie de me","chabichou","0"
"brie de me","cheddar","0"
"brie de me","chèvre","0"
"brie de me","comté","0"
"brie de me","emmental","0"
"brie de me","epoisses","0"
"brie de me","feta","0"
"brie de me","fourme d’a","0"
"brie de me","fromage fr","0"
"brie de me","gruyère","0"
"brie de me","maroilles","0"
"brie de me","mimolette","0"
"brie de me","mont d’or","1"
"brie de me","morbier","0"
"brie de me","mothais","0"
"brie de me","mozzarella","0"
"brie de me","munster","0"
"brie de me","neufchatel","1"
"brie de me","ossau- ira","0"
"brie de me","parmesan","0"
"brie de me","pecorino","0"
"brie de me","pouligny s","0"
"brie de me","raclette","0"
"brie de me","reblochon","0"
"brie de me","roquefort","0"
"brie de me","saint- fél","0"
"brie de me","saint-nect","0"
"brie de me","scarmoza","0"
"brie de me","stilton","0"
"brie de me","tomme de v","0"
"brie de me","tête de mo","0"
"brie de me","vacherin","0"
"bûchette d","beaufort","0"
"bûchette d","brie de me","0"
"bûchette d","bûchette d","19"
"bûchette d","cabecou","1"
"bûchette d","camembert","0"
"bûchette d","chabichou","0"
"bûchette d","cheddar","0"
"bûchette d","chèvre","1"
"bûchette d","comté","0"
"bûchette d","emmental","0"
"bûchette d","epoisses","0"
"bûchette d","feta","0"
"bûchette d","fourme d’a","0"
"bûchette d","fromage fr","3"
"bûchette d","gruyère","0"
"bûchette d","maroilles","0"
"bûchette d","mimolette","0"
"bûchette d","mont d’or","0"
"bûchette d","morbier","0"
"bûchette d","mothais","0"
"bûchette d","mozzarella","0"
"bûchette d","munster","0"
"bûchette d","neufchatel","0"
"bûchette d","ossau- ira","1"
"bûchette d","parmesan","0"
"bûchette d","pecorino","0"
"bûchette d","pouligny s","0"
"bûchette d","raclette","0"
"bûchette d","reblochon","0"
"bûchette d","roquefort","0"
